Issue ID,Summary,Issue Type,Parent ID,Description,Priority,Labels,Story Points,Acceptance Criteria
300,"AG Sprint 3 — Human Approval, Real Agent/MCP, and AI Explanations",Epic,,"Deliver a governed end-to-end workflow in which real agent tool requests are allowed, denied, or held for human approval and fully audited.",Highest,"capstone,sprint-3",,
310,Complete the human approval lifecycle,Story,300,Provide a secure approval queue and deterministic state transitions for sensitive agent actions.,Highest,"capstone,sprint-3,approval,backend,security",8,"Authorized approvers can approve or reject pending requests, self-approval and invalid transitions are blocked, and every transition is audited."
311,Implement approval queue and detail APIs,Sub-task,310,"Add organization-scoped list, filter, and detail endpoints for pending and completed approvals.",Highest,"approval,backend",,
312,"Implement approve, reject, expire, and cancel transitions",Sub-task,310,"Enforce valid state transitions and persist reviewer, reason, timestamps, and final outcome.",Highest,"approval,backend",,
313,Prevent self-approval and duplicate processing,Sub-task,310,Block requesters from approving their own actions and make approval operations idempotent.,Highest,"approval,security,testing",,
320,Execute governed tools safely,Story,300,Create a tool-execution layer that runs an external action only after AgentGuard authorizes it.,Highest,"capstone,sprint-3,tool-execution,backend,security",8,"Denied requests never execute, approval-required requests execute only after approval, and successful or failed executions are recorded exactly once."
321,Create provider-neutral tool adapter interface,Sub-task,320,"Define a common adapter contract for tool discovery, argument validation, execution, and normalized results.",High,"tool-execution,architecture,backend",,
322,Add idempotent execution records,Sub-task,320,"Store execution status, attempt count, timestamps, provider response, and idempotency key.",Highest,"tool-execution,database",,
323,"Handle tool timeout, failure, and retry safely",Sub-task,320,"Add bounded timeouts, safe retry rules, failure auditing, and user-visible error states.",High,"tool-execution,reliability,testing",,
330,Integrate a real AI agent,Story,300,Connect one real AI agent that proposes tool calls through the AgentGuard governance gateway.,Highest,"capstone,sprint-3,ai-agent,backend,ai-engineering",8,"The agent can submit structured tool requests, cannot bypass AgentGuard, and its request, decision, and result share one correlation ID."
331,Implement agent adapter and structured request schema,Sub-task,330,Translate agent tool-call proposals into the common AgentGuard action-request model.,Highest,"ai-agent,backend",,
332,Register agent identity and permitted capabilities,Sub-task,330,"Bind the agent to its registered identity, owner, permitted tools, and environment.",High,"ai-agent,security",,
333,Add mock mode for deterministic local and CI testing,Sub-task,330,Provide a provider-free mock agent so tests and demonstrations do not depend on external availability.,High,"ai-agent,testing",,
340,Integrate one MCP tool provider,Story,300,"Connect AgentGuard to one MCP server, such as a safely configured Zapier MCP endpoint, using a small allowlisted tool set.",Highest,"capstone,sprint-3,mcp,integration,security",8,"AgentGuard discovers only approved tools, validates arguments, governs each invocation, and successfully demonstrates at least two non-destructive test actions."
341,Configure MCP client and secret handling,Sub-task,340,Load the MCP endpoint and credentials from environment variables and document secure setup.,Highest,"mcp,security,devops",,
342,Allowlist safe MCP tools and argument schemas,Sub-task,340,"Expose only selected non-destructive tools and validate destination, channel, sheet, or project constraints.",Highest,"mcp,security,backend",,
343,Implement MCP mock server or stub,Sub-task,340,Provide deterministic local and CI behavior when the real MCP service is unavailable.,High,"mcp,testing",,
350,Explain policy decisions with AI without changing them,Story,300,Generate grounded plain-language explanations from the immutable deterministic decision record.,High,"capstone,sprint-3,ai-explanation,ai-engineering",5,"Explanations reference the matched policy and request context, follow a validated schema, and can never alter the authorization decision."
351,Create model-provider abstraction and mock provider,Sub-task,350,Support a configurable AI provider and a deterministic local fallback.,High,"ai-explanation,architecture,testing",,
352,Build grounded explanation prompt and output schema,Sub-task,350,"Provide only approved decision data and validate the returned summary, rationale, and caution fields.",High,"ai-explanation,security",,
353,Handle AI provider failure safely,Sub-task,350,Return the original deterministic decision and a safe fallback explanation when the provider fails.,High,"ai-explanation,reliability",,
360,Add agent and MCP security guardrails,Story,300,"Protect the governance path from prompt injection, unsafe arguments, secret leakage, and direct tool bypass.",Highest,"capstone,sprint-3,security,ai-safety,testing",8,"Malicious prompts and tool arguments are rejected or escalated, secrets are redacted, and tests prove that no execution bypasses policy evaluation."
361,Validate and sanitize tool arguments,Sub-task,360,"Reject unexpected fields, unsafe destinations, destructive actions, and oversized payloads.",Highest,"security,backend",,
362,Add prompt-injection and bypass test cases,Sub-task,360,"Create an evaluation set covering instruction override, hidden actions, direct execution, and policy-evasion attempts.",Highest,"security,ai-safety,testing",,
363,Redact secrets and sensitive fields from logs and prompts,Sub-task,360,Define redaction rules and verify that credentials and sensitive values are not exposed.,Highest,"security,privacy,testing",,
370,Provide an end-to-end governance interface,Story,300,"Expose pending approvals, execution status, agent requests, policy decisions, and AI explanations in the React application.",High,"capstone,sprint-3,frontend,approval,mcp",8,A reviewer can complete the full request-to-decision-to-approval-to-execution workflow from the web interface.
371,Build approval queue and review screens,Sub-task,370,"Add filters, request context, matched policy, approve/reject forms, and reviewer notes.",High,"frontend,approval",,
