Issue ID,Summary,Issue Type,Parent ID,Description,Priority,Labels,Story Points,Acceptance Criteria
400,"AG Sprint 4 — Production Hardening, Deployment, and Final Submission",Epic,,"Stabilize, secure, deploy, document, and present AgentGuard as a complete MSSE Capstone deliverable.",Highest,"capstone,sprint-4",,
410,Replace demonstration access with production-ready authentication,Story,400,"Harden identity, sessions, authorization, and environment configuration for the deployed system.",Highest,"capstone,sprint-4,authentication,security,backend",8,"The deployed application uses secure authentication, role-based authorization, protected secrets, and environment-specific configuration without demo tokens."
411,Implement secure login and token lifecycle,Sub-task,410,"Add password hashing or external identity integration, short-lived access tokens, and safe logout behavior.",Highest,"authentication,backend,security",,
412,Complete RBAC and object-level authorization review,Sub-task,410,"Verify every endpoint and UI action against organization, role, ownership, and approval permissions.",Highest,"security,testing",,
413,"Harden production CORS, cookies, headers, and secrets",Sub-task,410,"Apply least-privilege origins, secure headers, secret management, and production-safe settings.",Highest,"security,devops",,
420,Complete full automated regression coverage,Story,400,"Create a balanced unit, integration, frontend, end-to-end, security, and AI evaluation test suite.",Highest,"capstone,sprint-4,testing,quality",8,"All critical user stories have automated coverage, the complete suite runs in CI, and no critical regression remains."
421,Add frontend component and interaction tests,Sub-task,420,"Test policy forms, approval actions, audit filters, validation, and error states.",High,"testing,frontend",,
422,Add Playwright end-to-end governance journeys,Sub-task,420,"Automate login, policy setup, allow, deny, approval, MCP execution, and audit verification.",Highest,"testing,e2e",,
423,Publish coverage and test evidence,Sub-task,420,"Generate coverage summaries and document test scope, rationale, limitations, and results.",High,"testing,documentation",,
430,Complete security and privacy hardening,Story,400,"Address the final threat model and verify protection against common web, API, agent, and integration risks.",Highest,"capstone,sprint-4,security,privacy,ai-safety",8,"Authorization, injection, dependency, secret, rate-limit, privacy, and agent-bypass checks pass with no unresolved critical findings."
431,"Run authorization, IDOR, and input-security tests",Sub-task,430,"Test cross-organization access, privilege escalation, malformed inputs, and unsafe object references.",Highest,"security,testing",,
432,Add rate limiting and abuse protections,Sub-task,430,"Protect authentication, decision, explanation, approval, and execution endpoints from excessive use.",High,"security,reliability",,
433,"Run dependency, secret, and static security scanning",Sub-task,430,Configure CI checks and resolve or document material findings.,High,"security,devops",,
440,"Improve performance, resilience, and recoverability",Story,400,Measure and improve critical paths and document operational recovery for the deployed system.,High,"capstone,sprint-4,performance,reliability,database",5,"Critical API paths meet documented targets, failures are handled safely, and backup, restore, health, and rollback procedures are verified."
441,Add performance smoke and concurrency tests,Sub-task,440,"Measure policy evaluation, audit queries, approval processing, and MCP execution under representative load.",High,"performance,testing",,
442,Review PostgreSQL indexes and query plans,Sub-task,440,"Optimize decision, approval, policy-version, correlation, and audit-history queries.",High,"database,performance",,
443,"Document backup, restore, rollback, and outage behavior",Sub-task,440,"Verify migration rollback strategy, database backup/restore, degraded AI behavior, and MCP outage handling.",High,"reliability,documentation,devops",,
450,Polish accessibility and user experience,Story,400,"Make the final demonstration clear, responsive, accessible, and resilient to user errors.",High,"capstone,sprint-4,frontend,accessibility,ux",5,"Critical workflows are keyboard accessible, responsive, clearly labeled, and provide useful loading, success, empty, and error states."
451,"Complete keyboard, labels, focus, and contrast review",Sub-task,450,"Fix accessibility issues in forms, tables, dialogs, navigation, and status messaging.",High,"frontend,accessibility",,
452,Polish responsive layouts and data presentation,Sub-task,450,"Improve mobile and desktop layouts, long values, audit tables, timelines, and dashboards.",High,"frontend,ux",,
453,Add stable demo data and guided empty/error states,Sub-task,450,Ensure the production demo starts predictably and clearly explains missing data or failures.,High,"frontend,ux,testing",,
460,Deploy the complete production system,Story,400,"Deploy the React frontend, FastAPI backend, PostgreSQL database, and required integrations to an accessible production environment.",Highest,"capstone,sprint-4,deployment,devops,cloud",8,"The public deployment uses HTTPS, applies migrations safely, passes smoke tests, and is linked from the repository."
461,"Provision production frontend, API, and PostgreSQL",Sub-task,460,"Create the selected hosting services, domains, environment variables, and database connection.",Highest,"deployment,cloud,database",,
462,Automate production deployment and migrations,Sub-task,460,"Deploy from the approved branch with gated CI, migration execution, health checks, and rollback notes.",Highest,"deployment,devops,ci-cd",,
463,Run production smoke and integration verification,Sub-task,460,"Verify authentication, policies, decisions, approvals, MCP test tools, audit export, and AI fallback in production.",Highest,"deployment,testing",,
470,"Finalize architecture, design, testing, and cost documentation",Story,400,Create the detailed design and testing evidence required for the Capstone submission.,Highest,"capstone,sprint-4,documentation,architecture,testing",8,"The final document explains architecture and patterns, technology choices, testing methods/results, deployment alternatives, and relative cost implications."
471,Finalize architecture diagrams and ADRs,Sub-task,470,"Document components, data flow, trust boundaries, adapters, patterns, and major decisions with rationale.",Highest,"documentation,architecture",,
472,"Finalize test strategy, results, and traceability matrix",Sub-task,470,"Map user stories to tests and include automated/manual evidence, limitations, and defect outcomes.",Highest,"documentation,testing",,
473,Document deployment options and relative costs,Sub-task,470,Compare the chosen cloud deployment with alternatives such as on-premises and summarize expected cost tradeoffs.,High,"documentation,deployment,cost",,
480,"Complete agile, repository, and release evidence",Story,400,"Ensure the repository and Jira board clearly prove the project journey, delivered stories, CI/CD, testing, and release management.",Highest,"capstone,sprint-4,jira,github,release",5,"All agreed stories and tasks have accurate Jira status and evidence, the README links every required artifact, and the final release is tagged."
481,"Complete Jira statuses, evidence, and sprint retrospectives",Sub-task,480,"Attach PRs, commits, screenshots, test results, demos, planning notes, and retrospectives to the appropriate stories.",Highest,"jira,documentation",,
482,Finalize README and required accessible links,Sub-task,480,"Add deployed app, Jira board, design/testing document, demo video, installation, attribution, and limitations.",Highest,"github,documentation",,
483,Create final changelog and v1.0.0 release,Sub-task,480,"Freeze scope, resolve release blockers, publish release notes, and tag the submission-ready commit.",Highest,"release,github",,
490,Record and submit the final Capstone demonstration,Story,400,Prepare and submit a professional 15–20 minute recording that demonstrates the deployed AgentGuard system and required evidence.,Highest,"capstone,sprint-4,presentation,submission",8,"The recording demonstrates a range of working user stories, remains within 15–20 minutes, shows the presenter and ID as required, and all submission links are accessible."
